날짜,품목명,가격
20050512.0,딸기,782
20050512.0,양파,1827
20050513.0,깐마늘(국산),6945
20050513.0,딸기,782
20050513.0,양파,1827
20050516.0,깐마늘(국산),6945
20050516.0,딸기,782
20050516.0,양파,1827
20050517.0,깐마늘(국산),6945
20050517.0,딸기,782
20050517.0,양파,1827
20050518.0,깐마늘(국산),6945
20050518.0,딸기,782
20050518.0,양파,1827
20050519.0,깐마늘(국산),6945
20050519.0,딸기,782
20050519.0,양파,1802
20050520.0,깐마늘(국산),6945
20050520.0,딸기,782
20050520.0,양파,1802
20050523.0,깐마늘(국산),6945
